Date,Open,High,Low,Close,Volume
2011-07-21,3586.24,3586.24,3586.24,3586.24,30531215
2011-07-22,3604.62,3604.62,3604.62,3604.62,17194221
2011-07-25,3592.73,3592.73,3592.73,3592.73,15730944
2011-07-26,3574.51,3574.51,3574.51,3574.51,8895840
2011-07-27,3534.23,3534.23,3534.23,3534.23,12564372
2011-07-28,3575.66,3575.66,3575.66,3575.66,18926717
2011-07-29,3582.99,3582.99,3582.99,3582.99,25130725
2011-08-01,3551.34,3551.34,3551.34,3551.34,15354273
2011-08-02,3503.7,3503.7,3503.7,3503.7,21558599
2011-08-03,3389.59,3389.59,3389.59,3389.59,26602096
2011-08-04,3269.35,3269.35,3269.35,3269.35,32449108
2011-08-05,3216.18,3216.18,3216.18,3216.18,39353177
2011-08-08,3141.01,3141.01,3141.01,3141.01,46468084
2011-08-09,3040.43,3040.43,3040.43,3040.43,57769689
2011-08-10,2883.5,2883.5,2883.5,2883.5,50100922
2011-08-11,3014.02,3014.02,3014.02,3014.02,59568879
2011-08-12,3064.16,3064.16,3064.16,3064.16,36744590
2011-08-16,3137.7,3137.7,3137.7,3137.7,27227933
2011-08-17,3137.45,3137.45,3137.45,3137.45,32174780
2011-08-18,2955.05,2955.05,2955.05,2955.05,45805492
2011-08-19,2960.17,2960.17,2960.17,2960.17,21574516
2011-08-22,3028.75,3028.75,3028.75,3028.75,17716963
2011-08-23,3021.49,3021.49,3021.49,3021.49,26561482
2011-08-24,3024.92,3024.92,3024.92,3024.92,14120820
2011-08-25,3041.56,3041.56,3041.56,3041.56,26230918
2011-08-26,3040.2,3040.2,3040.2,3040.2,14552429
2011-08-29,3116.62,3116.62,3116.62,3116.62,12381317
2011-08-30,3167.95,3167.95,3167.95,3167.95,28561418
2011-08-31,3247.18,3247.18,3247.18,3247.18,56330695
2011-09-01,3199.08,3199.08,3199.08,3199.08,26563560
2011-09-02,3126.35,3126.35,3126.35,3126.35,25458683
2011-09-05,3016.07,3016.07,3016.07,3016.07,20854136
2011-09-06,3034.05,3034.05,3034.05,3034.05,21272860
2011-09-07,3139.6,3139.6,3139.6,3139.6,30942611
2011-09-08,3134.55,3134.55,3134.55,3134.55,21071441
2011-09-09,2979.28,2979.28,2979.28,2979.28,29170318
2011-09-12,2890.7,2890.7,2890.7,2890.7,25595435
2011-09-13,2917.13,2917.13,2917.13,2917.13,23075371
2011-09-14,2936.11,2936.11,2936.11,2936.11,20201628
2011-09-15,3034.17,3034.17,3034.17,3034.17,23070926
2011-09-16,3053.78,3053.78,3053.78,3053.78,48997137
2011-09-19,3007.55,3007.55,3007.55,3007.55,26127232
2011-09-20,3035.74,3035.74,3035.74,3035.74,24213386
2011-09-21,3040.93,3040.93,3040.93,3040.93,39077218
2011-09-22,2819.99,2819.99,2819.99,2819.99,37353620
2011-09-23,2791.67,2791.67,2791.67,2791.67,37186407
2011-09-26,2810.26,2810.26,2810.26,2810.26,34568423
2011-09-27,2927.28,2927.28,2927.28,2927.28,29294766
2011-09-28,2928.51,2928.51,2928.51,2928.51,26520994
2011-09-29,2938.1,2938.1,2938.1,2938.1,28400987
2011-09-30,2938.09,2938.09,2938.09,2938.09,29909458
2011-10-03,2881.48,2881.48,2881.48,2881.48,25007699
2011-10-04,2805.34,2805.34,2805.34,2805.34,28676121
2011-10-05,2879.22,2879.22,2879.22,2879.22,28141320
2011-10-06,2917.35,2917.35,2917.35,2917.35,26330269
2011-10-07,2940.28,2940.28,2940.28,2940.28,30435362
2011-10-10,3041.27,3041.27,3041.27,3041.27,23190003
2011-10-11,3036.28,3036.28,3036.28,3036.28,29059360
2011-10-12,3109.81,3109.81,3109.81,3109.81,30962155
2011-10-13,3050.44,3050.44,3050.44,3050.44,21549620
2011-10-14,3088.34,3088.34,3088.34,3088.34,15234666
2011-10-17,3068.55,3068.55,3068.55,3068.55,24030478
2011-10-18,3071.93,3071.93,3071.93,3071.93,14203621
2011-10-19,3081.04,3081.04,3081.04,3081.04,19473491
2011-10-20,2982.88,2982.88,2982.88,2982.88,20807952
2011-10-21,3094.73,3094.73,3094.73,3094.73,23775449
2011-10-24,3182.35,3182.35,3182.35,3182.35,17032890
2011-10-25,3154.19,3154.19,3154.19,3154.19,19775916
2011-10-26,3141.52,3141.52,3141.52,3141.52,35720193
2011-10-27,3241.33,3241.33,3241.33,3241.33,21957623
2011-10-28,3234.18,3234.18,3234.18,3234.18,16222007
2011-10-31,3183.54,3183.54,3183.54,3183.54,17957107
2011-11-02,3162.21,3162.21,3162.21,3162.21,30351089
2011-11-03,3218.14,3218.14,3218.14,3218.14,20785509
2011-11-04,3171.65,3171.65,3171.65,3171.65,22856492
2011-11-07,3197.09,3197.09,3197.09,3197.09,19139072
2011-11-08,3218.03,3218.03,3218.03,3218.03,19627770
2011-11-09,3108.5,3108.5,3108.5,3108.5,24632420
2011-11-10,3071.94,3071.94,3071.94,3071.94,28569548
2011-11-14,3106.72,3106.72,3106.72,3106.72,21412787
2011-11-15,3090.5,3090.5,3090.5,3090.5,23668498
2011-11-16,3129.74,3129.74,3129.74,3129.74,20315812
2011-11-17,3078.54,3078.54,3078.54,3078.54,19165792
2011-11-18,3006.76,3006.76,3006.76,3006.76,19483012
2011-11-21,2929.25,2929.25,2929.25,2929.25,34514941
2011-11-22,2931.52,2931.52,2931.52,2931.52,20986043
2011-11-23,2880.93,2880.93,2880.93,2880.93,23823844
2011-11-24,2906.08,2906.08,2906.08,2906.08,20288860
2011-11-25,2904.63,2904.63,2904.63,2904.63,16039306
2011-11-28,2969.23,2969.23,2969.23,2969.23,17170900
2011-11-29,2929.78,2929.78,2929.78,2929.78,17146995
2011-11-30,3071.45,3071.45,3071.45,3071.45,46333964
2011-12-01,3040.52,3040.52,3040.52,3040.52,19549773
2011-12-02,3030.94,3030.94,3030.94,3030.94,18638388
2011-12-05,3076.89,3076.89,3076.89,3076.89,15385239
2011-12-06,3009.76,3009.76,3009.76,3009.76,20589669
2011-12-07,3025.14,3025.14,3025.14,3025.14,25336885
2011-12-08,2969.1,2969.1,2969.1,2969.1,24183969
2011-12-09,2989.31,2989.31,2989.31,2989.31,35927973
2011-12-12,2919.37,2919.37,2919.37,2919.37,14572148
2011-12-13,2936.57,2936.57,2936.57,2936.57,20857153
