PERMNO,start,ending,TICKER,EXCHCD,date,enddate,npermno,ric
51369,19991115,20121231,TER,1,19790515,20121231,1,TER.N
58318,20061220,20081105,TEX,1,19910319,20121231,1,TEX.N
49154,19761209,20121231,TGT,1,20000131,20121231,1,TGT.N
52337,19790208,20121231,THC,1,19950301,20121231,1,THC.N
83699,20071029,20121221,TIE,1,19980716,20121231,1,TIE.N
75100,20000621,20121231,TIF,1,19870505,20121231,1,TIF.N
66114,19861218,20071228,TIN,1,19840127,20121231,1,TIN.N
40539,19850926,20121231,TJX,1,19890621,20121231,1,TJX.N
14795,19640220,20010806,TKR,1,19620702,20121231,1,TKR.N
75257,19950703,20111220,TLAB,3,19800715,20121231,1,TLAB.O
81193,19950201,20000612,TMC,1,19950201,20121231,1,TMC.N
62308,19890427,20121231,TMK,1,19820701,20121231,1,TMK.N
62092,19970102,20121231,TMO,1,19800827,20121231,1,TMO.N
84342,20010604,20111216,TMPW,3,19961213,20030501,1,TMPW.O
38578,19741017,20040802,TNB,1,19620927,20121231,1,TNB.N
61663,19990920,20010920,TOS,1,19800130,20121231,1,TOS.N
61065,19830908,20050721,TOY,1,19790629,20121231,1,TOY.N
65787,19860130,20071220,TRB,1,19831012,20121231,1,TRB.N
13168,20111221,20121231,TRIP,3,20111221,20121231,1,TRIP.O
10138,19991013,20121231,TROW,3,19860402,20121231,1,TROW.O
59459,19760701,20121231,TRV,1,20070227,20121231,1,TRV.N
18681,19640220,20021211,TRW,1,19620702,20121231,1,TRW.N
84036,20000316,20070330,TSG,1,19961011,20121231,1,TSG.N
77730,20050811,20121231,TSN,1,19971017,20121231,1,TSN.N
37284,20070927,20121231,TSO,1,19711029,20121231,1,TSO.N
76639,20080102,20121231,TSS,1,19890607,20121231,1,TSS.N
81285,20020513,20080605,TT,1,20071128,20121231,1,TT.N
83462,19960531,20040324,TUP,1,19960531,20121231,1,TUP.N
91883,20090330,20121231,TWC,1,20070301,20121231,1,TWC.N
77418,19990104,20121231,TWX,1,20031016,20121231,2,TWX.N
40483,19640423,20010112,TWX,1,19891211,20121231,2,TWX.N
14736,19251231,20011009,TX,1,19620702,20121231,1,TX.N
15579,19590325,20121231,TXN,1,19620702,20120103,1,TXN.N
15579,19590325,20121231,TXN,3,20120103,20121231,1,TXN.O
23579,19781005,20121231,TXT,1,19620702,20121231,1,TXT.N
24563,19570301,20071009,TXU,1,19620702,20121231,1,TXU.N
45356,19890727,20090316,TYC,1,19740116,20121231,1,TYC.N
45356,20100827,20121231,TYC,1,19740116,20121231,1,TYC.N
28847,19861218,20020514,U,1,19791029,20121231,1,U.N
14891,19570301,20050810,UCL,1,19620702,20121231,1,UCL.N
20853,19410820,20001020,UCM,1,19940901,20121231,1,UCM.N
10890,19540420,20081110,UIS,1,19861110,20121231,1,UIS.N
15659,19251231,20010206,UK,1,19620702,20121231,1,UK.N
88388,19980615,20000615,UMG,1,19980615,20121231,1,UMG.N
28310,19611206,20020719,UN,1,19620702,20121231,1,UN.N
92655,19940701,20121231,UNH,1,19911010,20121231,1,UNH.N
71175,19940311,20121231,UNM,1,19861106,20121231,1,UNM.N
48725,19690716,20121231,UNP,1,19690716,20121231,1,UNP.N
78263,19981001,20040630,UPC,1,19890207,20121231,1,UPC.N
82308,19961016,20000714,UPR,1,19951011,20121231,1,UPR.N
87447,20020722,20121231,UPS,1,19991110,20121231,1,UPS.N
79881,20100208,20121231,URBN,3,19931109,20121231,1,URBN.O
78840,20061201,20080820,USAI,3,19980217,20030623,1,USAI.O
66157,19951023,20121231,USB,1,19970804,20121231,1,USB.N
15077,19870409,20090105,UST,1,19870506,20121231,1,UST.N
66122,19831201,20000705,USW,1,19840216,20121231,1,USW.N
17830,19570301,20121231,UTX,1,19750501,20121231,1,UTX.N
84001,20010207,20070328,UVN,1,19960927,20121231,1,UVN.N
92611,20091221,20121231,V,1,20080319,20121231,1,V.N
27043,20070212,20121231,VAR,1,19620702,20121231,1,VAR.N
88319,20000629,20051230,VC,1,20000629,20121231,1,VC.N
43553,19790503,20121231,VFC,1,19690417,20121231,1,VFC.N
76226,19940930,20121231,VIA,1,19990408,20060103,2,VIA.N
91063,20060103,20121231,VIA,1,20060103,20111201,2,VIA.N
91063,20060103,20121231,VIAB,3,20111201,20121231,1,VIAB.O
85269,20040429,20121231,VLO,1,19970812,20121231,1,VLO.N
15202,19990701,20121231,VMC,1,19620702,20121231,1,VMC.N
28388,20050812,20121231,VNO,1,19620702,20121231,1,VNO.N
19916,19570301,20001208,VO,1,19741114,20121231,1,VO.N
85753,20060201,20121231,VRSN,3,19980130,20121231,1,VRSN.O
80055,20000403,20050701,VRTS,3,19931209,20121231,1,VRTS.O
75819,20090304,20121231,VTR,1,19980501,20121231,1,VTR.N
77173,20001212,20020820,VTSS,3,19911211,20121231,1,VTSS.O
65875,19831201,20121231,VZ,1,20000703,20121231,1,VZ.N
19502,19791011,20121231,WAG,1,19620702,20121231,1,WAG.N
82651,20020102,20121231,WAT,1,19951117,20121231,1,WAT.N
36469,19890209,20081231,WB,1,20010904,20121231,1,WB.N
11042,19960401,20020514,WCOM,3,19950526,20121231,1,WCOM.O
66384,20090701,20121231,WDC,1,19910131,20120601,1,WDC.N
66384,20090701,20121231,WDC,3,20120601,20121231,1,WDC.O
23536,20081031,20121231,WEC,1,19870102,20121231,1,WEC.N
63060,19820304,20080929,WEN,1,19810527,20121231,1,WEN.N
38703,19760701,20121231,WFC,1,19981103,20121231,1,WFC.N
77281,20060103,20121231,WFM,3,20110506,20121231,1,WFM.O
